reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,comments,latitude,longitude
11/28/17 8:26,THEFT REPORT,11/28/17 7:30,11/28/17 8:00,MALKIN ATHLETIC CENTER,39 HOLYOKE ST,CAMBRIDGE,CLOSED,None,latitude,longitude
11/28/17 9:08,THEFT REPORT,11/21/17 14:00,11/21/17 18:00,NEW DENTAL RESEARCH BUILDING,190 LONGWOOD AVE,BOSTON,CLOSED,None,42.37135079999999,-71.1193922
11/28/17 10:17,MOTOR VEHICLE THEFT,11/27/17 17:45,11/28/17 9:00,FACULTY ROW CAR PORT,46 LINNAEAN ST,CAMBRIDGE,CLOSED,None,42.3361099,-71.1020461
11/28/17 12:07,THREAT(S),11/27/17 16:53,11/28/17 11:02,DUDLEY HOUSE - LEHMAN HALL,8 HARVARD YARD,CAMBRIDGE,OPEN,None,42.3827639,-71.1246594
11/28/17 13:48,FIELD INTERVIEW,11/28/17 13:48,11/28/17 14:31,ALDRICH HALL,35 HARVARD WAY,ALLSTON,CLOSED,None,42.3736256,-71.1184604
11/28/17 16:20,SUSPICIOUS ACTIVITY,11/28/17 16:20,11/28/17 16:20,EMERSON HALL,26 HARVARD YARD,CAMBRIDGE,CLOSED,None,42.3658879,-71.1221004
11/28/17 21:35,SUSPICIOUS ACTIVITY,11/28/17 21:35,11/28/17 21:35,PEABODY TERRACE 09,900 MEMORIAL DR,CAMBRIDGE,CLOSED,None,42.4206858,-71.13326459999999
11/30/17 0:12,ASSIST CAMBRIDGE POLICE,11/30/17 0:12,11/30/17 0:12,FLY CLUB,2 HOLYOKE PL,CAMBRIDGE,CLOSED,Officer dispatched to a report of loud noise coming from the area. Officer arrived and report area quiet. ,42.36601,-71.1156558
11/30/17 8:03,VANDALISM,11/30/17 1:30,11/30/17 5:51,WARREN ALPERT BUILDING,200 LONGWOOD AVE,BOSTON,CLOSED,Officer dispatched to a report of vandalism done to a door in which a glass pane was smashed. ,42.3714851,-71.1178123
11/30/17 10:26,UNWANTED GUEST,11/30/17 10:26,11/30/17 10:26,WASSERSTEIN HALL,1585 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,Officers dispatched to a report of an unwanted guest in the building. Officers arrived and report individual gone on arrival. ,42.3362729,-71.1028247
11/28/17 8:26,THEFT REPORT,11/28/17 7:30,11/28/17 8:00,MALKIN ATHLETIC CENTER,39 HOLYOKE ST,CAMBRIDGE,CLOSED,None,latitude,longitude
11/28/17 9:08,THEFT REPORT,11/21/17 14:00,11/21/17 18:00,NEW DENTAL RESEARCH BUILDING,190 LONGWOOD AVE,BOSTON,CLOSED,None,42.37135079999999,-71.1193922
11/28/17 10:17,MOTOR VEHICLE THEFT,11/27/17 17:45,11/28/17 9:00,FACULTY ROW CAR PORT,46 LINNAEAN ST,CAMBRIDGE,CLOSED,None,42.3361099,-71.1020461
11/28/17 12:07,THREAT(S),11/27/17 16:53,11/28/17 11:02,DUDLEY HOUSE - LEHMAN HALL,8 HARVARD YARD,CAMBRIDGE,OPEN,None,42.3827639,-71.1246594
11/28/17 13:48,FIELD INTERVIEW,11/28/17 13:48,11/28/17 14:31,ALDRICH HALL,35 HARVARD WAY,ALLSTON,CLOSED,None,42.3736256,-71.1184604
11/28/17 16:20,SUSPICIOUS ACTIVITY,11/28/17 16:20,11/28/17 16:20,EMERSON HALL,26 HARVARD YARD,CAMBRIDGE,CLOSED,None,42.3658879,-71.1221004
